Plant_Species
"Artemisia gmelini (Himalaya) - Artemisia gmelinii Web. ex Stechm., fam. Asteracae (Compositae)"
"Artemisia indica (China) - Artemisia indica Willd., fam. Asteraceae (Compositae)"
"Artemisia judaica (Egypt) 1 - Artemisia judaica L. (Bat'aran), fam. Asteraceae (Compositae)"
"Artemisia judaica (Egypt) 2 - Artemisia judaica L. (Bat'aran), fam. Asteraceae (Compositae)"
"Artemisia judaica (Israel) 1 - Artemisia judaica L. (Bat'aran), fam. Asteraceae (Compositae)"
"Artemisia judaica (Israel) 2 - Artemisia judaica L. (Bat'aran), fam. Asteraceae (Compositae)"
"Artemisia kawakamii (China) - Artemisia kawakamii Hayata, fam. Asteraceae (Compositae)"
"Artemisia macrocephala (China) - Artemisia macrocephala Jacq. ex Bess., fam. Asteraceae (Compositae)"
"Artemisia maritima (Himalaya) - Artemisia maritima L., fam. Asteracae (Compositae)"
"Artemisia marschaliana (Iran) - Artemisia marschaliana Sprengel, fam. Asteraceae (Compositae)"
"Artemisia molinieri - Artemisia molinieri Quezel, Barbero et R. Loisel, fam. Asteraceae (Compos)"
"Artemisia monosperma - Artemisia monosperma Del., fam. Asteraceae (Compositae)"
"Artemisia moorcroftiana - Artemisia moorcroftiana, fam. Asteraceae (Compositae)"
"Artemisia nilagirica (vulgaris) (India) 1 - Artemisia nilagirica (C.B. Clarks) Pamp. (A. vulgaris Hook f.), Asteraceae"
"Artemisia nilagirica (vulgaris) (India) 2 - Artemisia nilagirica (C.B. Clarks) Pamp. (A. vulgaris Hook f.), Asteraceae"
"Artemisia occidentalis-sichaunensis (China) - Artemisia occidentalis-sichuanensis Y.R. Ling et S.Y. Zhao,fam. Asteraceae"
"Artemisia persica (India) - Artemisia persica Boiss., fam. Asteraceae (Compositae)"
"Artemisia petrosa (Italy) - Artemisia petrosa Baumg. ssp. eriantha Ten., fam. Asteraceae (Compositae)"
"Artemisia princeps (China) - Artemisia princeps Pamp., fam. Asteraceae (Compositae)"
"Artemisia pubescens (China) - Artemisia pubescens Ledeb., fam. Asteraceae (Labiatae)"
"Artemisia roxburghiana (Himalaya) - Artemisia roxburghiana Wall. ex Bies, var. hypolenca, fam. Asteraceae"
"Artemisia santolina (Iran) - Artemisia santolina Schrenk, fam. Asteraceae (Compositae)"
"Artemisia scoparia (India) 1 - Artemisia scoparia Waldst. & Kit., fam. Asteraceae (Compositae)"
"Artemisia scoparia (India) 2 - Artemisia scoparia Waldst. et Kit., fam. Asteraceae (Compositae)"
Artemisia sieberi (Iran) - Artemisia sieberi (Iran)
"Artemisia speciosa (China) - Artemisia speciosa (Pamp.) Ling et Y.R. Ling, fam. Asteraceae (Compositae)"
"Artemisia spicigera (Turkey) - Artemisia spicigera C. Koch., fam. Asteraceae (Compositae)"
"Artemisia subulata (China) - Artemisia subulata Nakai, fam. Asteraceae (Compositae)"
"Artemisia umbelliformis (Italy) - Artemisia umbelliformis Lam., fam. Asteraceae (Compositae)"
"Artemisia vallesiaca (Italy) - Artemisia vallesiaca All., fam. Asteraceae (Compositae)"
"Artemisia variabilis (Italy) - Artemisia variabilis Ten., fam. Asteraceae (Compositae)"
"Artemisia verlotiorum (France) - Artemisia verlotiorum Lamotte, fam. Asteraceae (Compositae)"
"Artemisia verlotiorum (Italy) - Artemisia verlotiorum Lamotte, fam. Asteraceae (Compositae)"
"Artemisia vestita (India) - Artemisia vestita Wall. ex Dc., fam. Asteraceae (Compositae)"
"Artemisia waltonii (China) - Artemisia waltonii J.R. Drumm. ex Pamp., fam. Asteraceae (Compositae)"
"Asafoetida (Iran) 1 - Ferula assafoetida L., fam. Apiaceae (Umbelliferae)"
"Asafoetida (Iran) 2 - Ferula assafoetida L., fam. Apiaceae (Umbelliferae)"
"Asafoetida (Pakistan) 1a - Ferula assafoetida L., fam. Apiaceae (Umbelliferae)"
"Asafoetida (Pakistan) 1b - Ferula assafoetida L., fam. Apiaceae (Umbelliferae)"
